id;DateTime;Latitude;Longitude;Speed
358688800539215;2018-07-01T23:00:39.668;-2.0686472222222223;-79.8984538888889;6.944444444444445
358688800539215;2018-07-01T23:20:44.753;-2.0686472222222223;-79.8984538888889;6.944444444444445
358688800539215;2018-07-01T23:26:45.12;-2.0686472222222223;-79.8984538888889;6.944444444444445
358688800539215;2018-07-01T23:32:45.578;-2.0686472222222223;-79.8984538888889;6.944444444444445
358688800539215;2018-07-01T23:38:46.002;-2.0686472222222223;-79.8984538888889;6.944444444444445
358688800539215;2018-07-01T23:44:46.472;-2.0686472222222223;-79.8984538888889;6.944444444444445
358688800539215;2018-07-01T23:50:46.883;-2.0686472222222223;-79.8984538888889;6.944444444444445
358688800539215;2018-07-01T23:57:46.957;-2.0686472222222223;-79.8984538888889;6.944444444444445
358688800539215;2018-07-02T00:00:07.406;-2.068861666666667;-79.895505;0.0
358688800539215;2018-07-02T00:01:27.075;-2.068861666666667;-79.895505;0.0
358688800539215;2018-07-02T00:12:42.888;-2.068861666666667;-79.895505;0.0
358688800539215;2018-07-02T00:18:43.322;-2.068861666666667;-79.895505;0.0
358688800539215;2018-07-02T00:24:43.775;-2.068861666666667;-79.895505;0.0
358688800539215;2018-07-02T00:28:19.318;-2.06947;-79.89641777777778;10.277777777777777
358688800539215;2018-07-02T00:30:49.401;-2.0661722222222223;-79.90974277777778;13.61111111111111
358688800539215;2018-07-02T00:34:39.349;-2.0831661111111113;-79.9151;12.777777777777777
358688800539215;2018-07-02T00:38:09.396;-2.1057566666666667;-79.90934222222222;15.555555555555555
358688800539215;2018-07-02T00:39:59.669;-2.1170394444444445;-79.90649277777777;15.833333333333332
358688800539215;2018-07-02T00:45:10.004;-2.1391333333333336;-79.90693666666667;9.444444444444445
358688800539215;2018-07-02T00:45:50.239;-2.140713888888889;-79.90866666666666;5.833333333333333
358688800539215;2018-07-02T00:51:10.59;-2.1602555555555556;-79.91749;10.833333333333334
358688800539215;2018-07-02T00:52:00.111;-2.1614127777777776;-79.91800111111111;2.2222222222222223
358688800539215;2018-07-02T01:05:10.22;-2.1657244444444443;-79.92033555555555;7.222222222222222
358688800539215;2018-07-02T01:07:40.658;-2.172423333333333;-79.91611777777777;15.833333333333332
358688800539215;2018-07-02T01:10:30.791;-2.1822677777777777;-79.90186055555556;14.444444444444445
358688800539215;2018-07-02T01:17:01.062;-2.199331111111111;-79.89998111111112;10.277777777777777
358688800539215;2018-07-02T01:19:41.271;-2.211485;-79.90378722222222;10.833333333333334
358688800539215;2018-07-02T01:22:41.937;-2.220867222222222;-79.90561;0.0
358688800539215;2018-07-02T01:26:41.793;-2.226027777777778;-79.89832833333334;3.611111111111111
358688800539215;2018-07-02T01:28:01.316;-2.234741111111111;-79.89698;11.38888888888889
358688800539215;2018-07-02T01:38:01.86;-2.2625883333333334;-79.89061777777778;13.88888888888889
358688800539215;2018-07-02T01:39:51.319;-2.2659333333333334;-79.88770444444444;10.833333333333334
358688800539215;2018-07-02T01:45:21.647;-2.2618844444444446;-79.89151055555556;0.8333333333333333
358688800539215;2018-07-02T01:46:01.09;-2.26149;-79.89204277777777;11.38888888888889
358688800539215;2018-07-02T01:49:42.165;-2.238445;-79.89623611111111;14.166666666666666
358688800539215;2018-07-02T01:58:32.986;-2.2093611111111113;-79.895445;15.555555555555555
358688800539215;2018-07-02T02:02:12.749;-2.1946577777777776;-79.89080611111112;1.9444444444444444
358688800539215;2018-07-02T02:04:32.047;-2.1867794444444444;-79.88833222222222;11.666666666666666
358688800539215;2018-07-02T02:04:42.101;-2.1856477777777776;-79.88800166666667;14.166666666666666
358688800539215;2018-07-02T02:09:52.471;-2.1489655555555554;-79.88630055555555;12.222222222222221
358688800539215;2018-07-02T02:14:12.739;-2.1227016666666665;-79.86681166666666;16.38888888888889
358688800539215;2018-07-02T02:16:02.669;-2.1304616666666667;-79.86636722222222;10.833333333333334
358688800539215;2018-07-02T02:19:42.091;-2.129368888888889;-79.87086833333333;0.8333333333333333
358688800539215;2018-07-02T02:22:42.299;-2.130168333333333;-79.87093277777778;0.8333333333333333
358688800539215;2018-07-02T02:26:33.731;-2.1216166666666667;-79.8655611111111;19.72222222222222
358688800539215;2018-07-02T02:32:03.033;-2.1277938888888888;-79.88688166666667;7.222222222222222
358688800539215;2018-07-02T02:34:53.733;-2.1326472222222224;-79.88917;8.333333333333334
358688800539215;2018-07-02T02:37:43.569;-2.135196111111111;-79.88502333333334;8.055555555555555
358688800539215;2018-07-02T02:42:03.452;-2.1271883333333332;-79.89267666666667;6.111111111111111
